ACCOUNT ID,DATE,NARRATIVE,AMOUNT,SPLIT,NEW DATE,SPLIT
3,5/31/2021,Savings by Asia Mbatabya for the Month of  May 2021,108160,DFCU SACCO A/C,31/05/2021,40
3,6/24/2021,Savings by Asia Mbatabya for the Month of  June 2021,108160,DFCU SACCO A/C,24/06/2021,40
4,2/28/2020,Savings for the Month of February 2020,108160,Equity Joint A/C,28/02/2020,50
4,3/31/2020,Savings for the Month of March 2020,108160,Equity Joint A/C,31/03/2020,50
4,4/30/2020,Savings for the Month of April 2020,108160,Equity Joint A/C,30/04/2020,50
4,5/23/2020,Savings for the Month of May 2020,108160,Equity Joint A/C,23/05/2020,50
4,6/30/2020,Savings for the Month of June 2020,108160,Equity Joint A/C,30/06/2020,50
4,7/31/2020,Savings for the Month of July 2020,108160,Equity Joint A/C,31/07/2020,50
4,8/31/2020,Savings for the Month of August 2020,108160,Equity Joint A/C,31/08/2020,50
4,9/30/2020,Savings for the Month of September 2020,108160,Equity Joint A/C,30/09/2020,50
4,10/27/2020,Savings for the Month of October 2020,108160,DFCU SACCO A/C,27/10/2020,40
4,11/30/2020,Savings for the Month of November 2020,108160,DFCU SACCO A/C,30/11/2020,40
4,12/31/2020,Savings for the Month of December 2020,108160,DFCU SACCO A/C,31/12/2020,40
4,1/31/2021,Savings for the Month of January 2021,108160,DFCU SACCO A/C,31/01/2021,40
4,2/28/2021,Savings for the Month of February 2021,108160,DFCU SACCO A/C,28/02/2021,40
4,3/30/2021,Savings for the Month of March 2021,108160,DFCU SACCO A/C,30/03/2021,40
4,4/30/2021,Savings for the Month of April 2021,108160,DFCU SACCO A/C,30/04/2021,40
4,5/31/2021,Savings by Namatove Deborah for the Month of  May 2021,108160,DFCU SACCO A/C,31/05/2021,40
4,6/24/2021,Savings by Namatove Deborah for the Month of  June 2021,108160,DFCU SACCO A/C,24/06/2021,40
5,2/28/2020,Savings for the Month of February 2020,200000,Equity Joint A/C,28/02/2020,50
5,3/31/2020,Savings for the Month of March 2020,200000,Equity Joint A/C,31/03/2020,50
5,4/30/2020,Savings for the Month of April 2020,200000,Equity Joint A/C,30/04/2020,50
5,5/23/2020,Savings for the Month of May 2020,200000,Equity Joint A/C,23/05/2020,50
5,6/30/2020,Savings for the Month of June 2020,200000,Equity Joint A/C,30/06/2020,50
5,7/31/2020,Savings for the Month of July 2020,200000,Equity Joint A/C,31/07/2020,50
5,8/31/2020,Savings for the Month of August 2020,300000,Equity Joint A/C,31/08/2020,50
5,9/30/2020,Savings for the Month of September 2020,300000,Equity Joint A/C,30/09/2020,50
5,10/27/2020,Savings for the Month of October 2020,300000,DFCU SACCO A/C,27/10/2020,40
5,11/30/2020,Savings for the Month of November 2020,300000,DFCU SACCO A/C,30/11/2020,40
5,12/31/2020,Savings for the Month of December 2020,300000,DFCU SACCO A/C,31/12/2020,40
5,1/31/2021,Savings for the Month of January 2021,200000,DFCU SACCO A/C,31/01/2021,40
5,2/28/2021,Savings for the Month of February 2021,200000,DFCU SACCO A/C,28/02/2021,40
5,3/30/2021,Savings for the Month of March 2021,200000,DFCU SACCO A/C,30/03/2021,40
5,4/30/2021,Savings for the Month of April 2021,200000,DFCU SACCO A/C,30/04/2021,40
5,5/31/2021,Savings by Nelson Agaba for the Month of  May 2021,200000,DFCU SACCO A/C,31/05/2021,40
5,6/24/2021,Savings by Nelson Agaba for the Month of  June 2021,200000,DFCU SACCO A/C,24/06/2021,40
6,2/28/2020,Savings for the Month of February 2020,112320,Equity Joint A/C,28/02/2020,50
6,3/31/2020,Savings for the Month of March 2020,112320,Equity Joint A/C,31/03/2020,50
6,4/30/2020,Savings for the Month of April 2020,112320,Equity Joint A/C,30/04/2020,50
6,5/23/2020,Savings for the Month of May 2020,112320,Equity Joint A/C,23/05/2020,50
6,6/30/2020,Savings for the Month of June 2020,112320,Equity Joint A/C,30/06/2020,50
6,7/31/2020,Savings for the Month of July 2020,112320,Equity Joint A/C,31/07/2020,50
6,8/31/2020,Savings for the Month of August 2020,112320,Equity Joint A/C,31/08/2020,50
6,9/30/2020,Savings for the Month of September 2020,112320,Equity Joint A/C,30/09/2020,50
6,10/27/2020,Savings for the Month of October 2020,112320,DFCU SACCO A/C,27/10/2020,40
6,11/30/2020,Savings for the Month of November 2020,112320,DFCU SACCO A/C,30/11/2020,40
6,12/31/2020,Savings for the Month of December 2020,112320,DFCU SACCO A/C,31/12/2020,40
6,1/31/2021,Savings for the Month of January 2021,112320,DFCU SACCO A/C,31/01/2021,40
6,2/28/2021,Savings for the Month of February 2021,112320,DFCU SACCO A/C,28/02/2021,40
6,3/30/2021,Savings for the Month of March 2021,112320,DFCU SACCO A/C,30/03/2021,40
6,4/30/2021,Savings for the Month of April 2021,112320,DFCU SACCO A/C,30/04/2021,40
6,5/31/2021,Savings by Ivan Opar for the Month of  May 2021,112320,DFCU SACCO A/C,31/05/2021,40
6,6/24/2021,Savings by Ivan Opar for the Month of  June 2021,112320,DFCU SACCO A/C,24/06/2021,40
7,2/28/2020,Savings for the Month of February 2020,216320,Equity Joint A/C,28/02/2020,50
7,3/31/2020,Savings for the Month of March 2020,216320,Equity Joint A/C,31/03/2020,50
7,4/30/2020,Savings for the Month of April 2020,216320,Equity Joint A/C,30/04/2020,50
7,5/23/2020,Savings for the Month of May 2020,216320,Equity Joint A/C,23/05/2020,50
7,6/30/2020,Savings for the Month of June 2020,216320,Equity Joint A/C,30/06/2020,50
7,7/31/2020,Savings for the Month of July 2020,216320,Equity Joint A/C,31/07/2020,50
7,8/31/2020,Savings for the Month of August 2020,216320,Equity Joint A/C,31/08/2020,50
7,9/30/2020,Savings for the Month of September 2020,216320,Equity Joint A/C,30/09/2020,50
7,10/27/2020,Savings for the Month of October 2020,216320,DFCU SACCO A/C,27/10/2020,40
7,11/30/2020,Savings for the Month of November 2020,216320,DFCU SACCO A/C,30/11/2020,40
7,12/31/2020,Savings for the Month of December 2020,216320,DFCU SACCO A/C,31/12/2020,40
7,1/31/2021,Savings for the Month of January 2021,216320,DFCU SACCO A/C,31/01/2021,40
7,2/28/2021,Savings for the Month of February 2021,216320,DFCU SACCO A/C,28/02/2021,40
7,3/30/2021,Savings for the Month of March 2021,216320,DFCU SACCO A/C,30/03/2021,40
7,4/30/2021,Savings for the Month of April 2021,216320,DFCU SACCO A/C,30/04/2021,40
7,5/31/2021,Savings by Tiyo Jonathan for the Month of  May 2021,216320,DFCU SACCO A/C,31/05/2021,40
7,6/24/2021,Savings by Tiyo Jonathan for the Month of  June 2021,216320,DFCU SACCO A/C,24/06/2021,40
8,2/28/2020,Savings for the Month of February 2020,50835,Equity Joint A/C,28/02/2020,50
8,3/31/2020,Savings for the Month of March 2020,50835,Equity Joint A/C,31/03/2020,50
8,4/30/2020,Savings for the Month of April 2020,50835,Equity Joint A/C,30/04/2020,50
8,5/23/2020,Savings for the Month of May 2020,50835,Equity Joint A/C,23/05/2020,50
8,6/30/2020,Savings for the Month of June 2020,50835,Equity Joint A/C,30/06/2020,50
8,7/31/2020,Savings for the Month of July 2020,50835,Equity Joint A/C,31/07/2020,50
8,8/31/2020,Savings for the Month of August 2020,50835,Equity Joint A/C,31/08/2020,50
8,9/30/2020,Savings for the Month of September 2020,50835,Equity Joint A/C,30/09/2020,50
8,10/27/2020,Savings for the Month of October 2020,50835,DFCU SACCO A/C,27/10/2020,40
8,11/30/2020,Savings for the Month of November 2020,50835,DFCU SACCO A/C,30/11/2020,40
8,12/31/2020,Savings for the Month of December 2020,50835,DFCU SACCO A/C,31/12/2020,40
8,1/31/2021,Savings for the Month of January 2021,50835,DFCU SACCO A/C,31/01/2021,40
8,2/28/2021,Savings for the Month of February 2021,50835,DFCU SACCO A/C,28/02/2021,40
8,3/30/2021,Savings for the Month of March 2021,50835,DFCU SACCO A/C,30/03/2021,40
8,4/30/2021,Savings for the Month of April 2021,50835,DFCU SACCO A/C,30/04/2021,40
8,5/31/2021,Savings by Wamani Richard for the Month of  May 2021,50835,DFCU SACCO A/C,31/05/2021,40
8,6/24/2021,Savings by Wamani Richard for the Month of  June 2021,50835,DFCU SACCO A/C,24/06/2021,40
9,2/28/2020,Savings for the Month of February 2020,250000,Equity Joint A/C,28/02/2020,50
9,3/31/2020,Savings for the Month of March 2020,250000,Equity Joint A/C,31/03/2020,50
9,4/30/2020,Savings for the Month of April 2020,250000,Equity Joint A/C,30/04/2020,50
9,5/23/2020,Savings for the Month of May 2020,250000,Equity Joint A/C,23/05/2020,50
9,6/30/2020,Savings for the Month of June 2020,250000,Equity Joint A/C,30/06/2020,50
9,7/31/2020,Savings for the Month of July 2020,250000,Equity Joint A/C,31/07/2020,50
9,8/31/2020,Savings for the Month of August 2020,250000,Equity Joint A/C,31/08/2020,50
9,9/30/2020,Savings for the Month of September 2020,250000,Equity Joint A/C,30/09/2020,50
9,10/27/2020,Savings for the Month of October 2020,300000,DFCU SACCO A/C,27/10/2020,40
9,11/30/2020,Savings for the Month of November 2020,300000,DFCU SACCO A/C,30/11/2020,40
9,12/31/2020,Savings for the Month of December 2020,300000,DFCU SACCO A/C,31/12/2020,40
9,1/31/2021,Savings for the Month of January 2021,300000,DFCU SACCO A/C,31/01/2021,40
9,2/28/2021,Savings for the Month of February 2021,400000,DFCU SACCO A/C,28/02/2021,40
9,3/30/2021,Savings for the Month of March 2021,400000,DFCU SACCO A/C,30/03/2021,40
9,4/30/2021,Savings for the Month of April 2021,400000,DFCU SACCO A/C,30/04/2021,40
9,5/31/2021,Savings by Annabel N. Mudangi for the Month of  May 2021,700000,DFCU SACCO A/C,31/05/2021,40
9,6/24/2021,Savings by Annabel N. Mudangi for the Month of  June 2021,700000,DFCU SACCO A/C,24/06/2021,40
10,2/28/2020,Savings for the Month of February 2020,173056,Equity Joint A/C,28/02/2020,50
10,3/31/2020,Savings for the Month of March 2020,173056,Equity Joint A/C,31/03/2020,50
10,4/30/2020,Savings for the Month of April 2020,173056,Equity Joint A/C,30/04/2020,50
10,5/23/2020,Savings for the Month of May 2020,173056,Equity Joint A/C,23/05/2020,50
10,6/30/2020,Savings for the Month of June 2020,173056,Equity Joint A/C,30/06/2020,50
10,7/31/2020,Savings for the Month of July 2020,173056,Equity Joint A/C,31/07/2020,50
10,8/31/2020,Savings for the Month of August 2020,173056,Equity Joint A/C,31/08/2020,50
10,9/30/2020,Savings for the Month of September 2020,173056,Equity Joint A/C,30/09/2020,50
10,10/27/2020,Savings for the Month of October 2020,173056,DFCU SACCO A/C,27/10/2020,40
10,11/30/2020,Savings for the Month of November 2020,173056,DFCU SACCO A/C,30/11/2020,40
10,12/31/2020,Savings for the Month of December 2020,173056,DFCU SACCO A/C,31/12/2020,40
10,1/31/2021,Savings for the Month of January 2021,173056,DFCU SACCO A/C,31/01/2021,40
10,2/28/2021,Savings for the Month of February 2021,173056,DFCU SACCO A/C,28/02/2021,40
10,3/30/2021,Savings for the Month of March 2021,173056,DFCU SACCO A/C,30/03/2021,40
10,4/30/2021,Savings for the Month of April 2021,173056,DFCU SACCO A/C,30/04/2021,40
10,5/31/2021,Savings by Nankya Annet for the Month of  May 2021,173056,DFCU SACCO A/C,31/05/2021,40
10,6/24/2021,Savings by Nankya Annet for the Month of  June 2021,173056,DFCU SACCO A/C,24/06/2021,40
11,2/28/2020,Savings for the Month of February 2020,120000,Equity Joint A/C,28/02/2020,50
11,3/31/2020,Savings for the Month of March 2020,120000,Equity Joint A/C,31/03/2020,50
11,4/30/2020,Savings for the Month of April 2020,120000,Equity Joint A/C,30/04/2020,50
11,5/23/2020,Savings for the Month of May 2020,120000,Equity Joint A/C,23/05/2020,50
11,6/30/2020,Savings for the Month of June 2020,120000,Equity Joint A/C,30/06/2020,50
11,7/31/2020,Savings for the Month of July 2020,120000,Equity Joint A/C,31/07/2020,50
11,8/31/2020,Savings for the Month of August 2020,120000,Equity Joint A/C,31/08/2020,50
11,9/30/2020,Savings for the Month of September 2020,120000,Equity Joint A/C,30/09/2020,50
11,10/27/2020,Savings for the Month of October 2020,150000,DFCU SACCO A/C,27/10/2020,40
11,11/30/2020,Savings for the Month of November 2020,150000,DFCU SACCO A/C,30/11/2020,40
11,12/31/2020,Savings for the Month of December 2020,150000,DFCU SACCO A/C,31/12/2020,40
11,1/31/2021,Savings for the Month of January 2021,150000,DFCU SACCO A/C,31/01/2021,40
11,2/28/2021,Savings for the Month of February 2021,150000,DFCU SACCO A/C,28/02/2021,40
11,3/30/2021,Savings for the Month of March 2021,150000,DFCU SACCO A/C,30/03/2021,40
11,4/30/2021,Savings for the Month of April 2021,150000,DFCU SACCO A/C,30/04/2021,40
11,5/31/2021,Savings by Laura Bagaya Wendy for the Month of  May 2021,150000,DFCU SACCO A/C,31/05/2021,40
11,6/24/2021,Savings by Laura Bagaya Wendy for the Month of  June 2021,150000,DFCU SACCO A/C,24/06/2021,40
12,2/28/2020,Savings for the Month of February 2020,120000,Equity Joint A/C,28/02/2020,50
12,3/31/2020,Savings for the Month of March 2020,120000,Equity Joint A/C,31/03/2020,50
12,4/30/2020,Savings for the Month of April 2020,120000,Equity Joint A/C,30/04/2020,50
12,5/23/2020,Savings for the Month of May 2020,120000,Equity Joint A/C,23/05/2020,50
12,6/30/2020,Savings for the Month of June 2020,120000,Equity Joint A/C,30/06/2020,50
12,7/31/2020,Savings for the Month of July 2020,120000,Equity Joint A/C,31/07/2020,50
12,8/31/2020,Savings for the Month of August 2020,120000,Equity Joint A/C,31/08/2020,50
12,9/30/2020,Savings for the Month of September 2020,120000,Equity Joint A/C,30/09/2020,50
12,10/27/2020,Savings for the Month of October 2020,120000,DFCU SACCO A/C,27/10/2020,40
12,11/30/2020,Savings for the Month of November 2020,120000,DFCU SACCO A/C,30/11/2020,40
12,12/31/2020,Savings for the Month of December 2020,120000,DFCU SACCO A/C,31/12/2020,40
12,1/31/2021,Savings for the Month of January 2021,120000,DFCU SACCO A/C,31/01/2021,40
12,2/28/2021,Savings for the Month of February 2021,120000,DFCU SACCO A/C,28/02/2021,40
12,3/30/2021,Savings for the Month of March 2021,120000,DFCU SACCO A/C,30/03/2021,40
12,4/30/2021,Savings for the Month of April 2021,120000,DFCU SACCO A/C,30/04/2021,40
12,5/31/2021,Savings by Samson Sagula for the Month of  May 2021,120000,DFCU SACCO A/C,31/05/2021,40
12,6/24/2021,Savings by Samson Sagula for the Month of  June 2021,120000,DFCU SACCO A/C,24/06/2021,40
14,2/28/2020,Savings for the Month of February 2020,173056,Equity Joint A/C,28/02/2020,50
14,3/31/2020,Savings for the Month of March 2020,173056,Equity Joint A/C,31/03/2020,50
14,4/30/2020,Savings for the Month of April 2020,173056,Equity Joint A/C,30/04/2020,50
14,5/23/2020,Savings for the Month of May 2020,173056,Equity Joint A/C,23/05/2020,50
14,6/30/2020,Savings for the Month of June 2020,346192,Equity Joint A/C,30/06/2020,50
14,7/31/2020,Savings for the Month of July 2020,346192,Equity Joint A/C,31/07/2020,50
14,8/31/2020,Savings for the Month of August 2020,346192,Equity Joint A/C,31/08/2020,50
14,9/30/2020,Savings for the Month of September 2020,346192,Equity Joint A/C,30/09/2020,50
14,10/27/2020,Savings for the Month of October 2020,346192,DFCU SACCO A/C,27/10/2020,40
14,11/30/2020,Savings for the Month of November 2020,346192,DFCU SACCO A/C,30/11/2020,40
14,12/31/2020,Savings for the Month of December 2020,346192,DFCU SACCO A/C,31/12/2020,40
14,1/31/2021,Savings for the Month of January 2021,346192,DFCU SACCO A/C,31/01/2021,40
14,2/28/2021,Savings for the Month of February 2021,346192,DFCU SACCO A/C,28/02/2021,40
14,3/30/2021,Savings for the Month of March 2021,346192,DFCU SACCO A/C,30/03/2021,40
14,4/30/2021,Savings for the Month of April 2021,346192,DFCU SACCO A/C,30/04/2021,40
14,5/31/2021,Savings by Nassuna Sharon for the Month of  May 2021,346192,DFCU SACCO A/C,31/05/2021,40
14,6/24/2021,Savings by Nassuna Sharon for the Month of  June 2021,346192,DFCU SACCO A/C,24/06/2021,40
15,3/31/2020,Savings for the Month of March 2020,108160,Equity Joint A/C,31/03/2020,50
15,4/30/2020,Savings for the Month of April 2020,108160,Equity Joint A/C,30/04/2020,50
15,5/23/2020,Savings for the Month of May 2020,108160,Equity Joint A/C,23/05/2020,50
15,6/30/2020,Savings for the Month of June 2020,108160,Equity Joint A/C,30/06/2020,50
15,7/31/2020,Savings for the Month of July 2020,108160,Equity Joint A/C,31/07/2020,50
15,8/31/2020,Savings for the Month of August 2020,108160,Equity Joint A/C,31/08/2020,50
16,3/31/2020,Savings for the Month of March 2020,108160,Equity Joint A/C,31/03/2020,50
16,4/30/2020,Savings for the Month of April 2020,108160,Equity Joint A/C,30/04/2020,50
16,5/23/2020,Savings for the Month of May 2020,108160,Equity Joint A/C,23/05/2020,50
16,6/30/2020,Savings for the Month of June 2020,108160,Equity Joint A/C,30/06/2020,50
16,7/31/2020,Savings for the Month of July 2020,108160,Equity Joint A/C,31/07/2020,50
16,8/31/2020,Savings for the Month of August 2020,108160,Equity Joint A/C,31/08/2020,50
16,9/30/2020,Savings for the Month of September 2020,108160,Equity Joint A/C,30/09/2020,50
16,10/27/2020,Savings for the Month of September 2020,108160,DFCU SACCO A/C,27/10/2020,40
16,11/30/2020,Savings for the Month of November 2020,108160,DFCU SACCO A/C,30/11/2020,40
16,12/31/2020,Savings for the Month of December 2020,108160,DFCU SACCO A/C,31/12/2020,40
16,1/31/2021,Savings for the Month of January 2021,108160,DFCU SACCO A/C,31/01/2021,40
16,2/28/2021,Savings for the Month of February 2021,108160,DFCU SACCO A/C,28/02/2021,40
16,3/30/2021,Savings for the Month of March 2021,108160,DFCU SACCO A/C,30/03/2021,40
16,4/30/2021,Savings for the Month of April 2021,108160,DFCU SACCO A/C,30/04/2021,40
16,5/31/2021,Savings by Abeja Hope Lydia for the Month of  May 2021,108160,DFCU SACCO A/C,31/05/2021,40
16,6/24/2021,Savings by Abeja Hope Lydia for the Month of  June 2021,108160,DFCU SACCO A/C,24/06/2021,40
26,2/28/2020,Savings for the Month of February 2020,51376,Equity Joint A/C,28/02/2020,50
26,3/31/2020,Savings for the Month of March 2020,51376,Equity Joint A/C,31/03/2020,50
26,4/30/2020,Savings for the Month of April 2020,51376,Equity Joint A/C,30/04/2020,50
26,5/23/2020,Savings for the Month of May 2020,51376,Equity Joint A/C,23/05/2020,50
26,6/30/2020,Savings for the Month of June 2020,51376,Equity Joint A/C,30/06/2020,50
26,7/31/2020,Savings for the Month of July 2020,51376,Equity Joint A/C,31/07/2020,50
26,8/31/2020,Savings for the Month of August 2020,51376,Equity Joint A/C,31/08/2020,50
26,9/30/2020,Savings for the Month of September 2020,51376,Equity Joint A/C,30/09/2020,50
26,10/27/2020,Savings for the Month of October 2020,51376,DFCU SACCO A/C,27/10/2020,40
26,11/30/2020,Savings for the Month of November 2020,51376,DFCU SACCO A/C,30/11/2020,40
26,12/31/2020,Savings for the Month of December 2020,51376,DFCU SACCO A/C,31/12/2020,40
26,1/31/2021,Savings for the Month of January 2021,51376,DFCU SACCO A/C,31/01/2021,40
26,2/28/2021,Savings for the Month of February 2021,51376,DFCU SACCO A/C,28/02/2021,40
26,3/30/2021,Savings for the Month of March 2021,51376,DFCU SACCO A/C,30/03/2021,40
26,4/30/2021,Savings for the Month of April 2021,51376,DFCU SACCO A/C,30/04/2021,40
26,5/31/2021,Savings by Mutagonga Lasil for the Month of  May 2021,51376,DFCU SACCO A/C,31/05/2021,40
26,6/24/2021,Savings by Mutagonga Lasil for the Month of  June 2021,51376,DFCU SACCO A/C,24/06/2021,40
17,2/28/2020,Savings for the Month of February 2020,346112,Equity Joint A/C,28/02/2020,50
17,3/31/2020,Savings for the Month of March 2020,346112,Equity Joint A/C,31/03/2020,50
17,4/30/2020,Savings for the Month of April 2020,346112,Equity Joint A/C,30/04/2020,50
17,5/23/2020,Savings for the Month of May 2020,346112,Equity Joint A/C,23/05/2020,50
17,6/30/2020,Savings for the Month of June 2020,346112,Equity Joint A/C,30/06/2020,50
17,7/31/2020,Savings for the Month of July 2020,346112,Equity Joint A/C,31/07/2020,50
17,8/31/2020,Savings for the Month of August 2020,346112,Equity Joint A/C,31/08/2020,50
17,9/30/2020,Savings for the Month of September 2020,346112,Equity Joint A/C,30/09/2020,50
17,10/27/2020,Savings for the Month of October 2020,346112,DFCU SACCO A/C,27/10/2020,40
17,11/30/2020,Savings for the Month of November 2020,346112,DFCU SACCO A/C,30/11/2020,40
17,12/31/2020,Savings for the Month of December 2020,346112,DFCU SACCO A/C,31/12/2020,40
17,1/31/2021,Savings for the Month of January 2021,346112,DFCU SACCO A/C,31/01/2021,40
17,2/28/2021,Savings for the Month of February 2021,346112,DFCU SACCO A/C,28/02/2021,40
17,3/30/2021,Savings for the Month of March 2021,346112,DFCU SACCO A/C,30/03/2021,40
17,4/30/2021,Savings for the Month of April 2021,346112,DFCU SACCO A/C,30/04/2021,40
17,5/31/2021,Savings by Angela N. Mwanje for the Month of  May 2021,346112,DFCU SACCO A/C,31/05/2021,40
17,6/24/2021,Savings by Angela N. Mwanje for the Month of  June 2021,346112,DFCU SACCO A/C,24/06/2021,40
18,2/28/2020,Savings for the Month of February 2020,329888,Equity Joint A/C,28/02/2020,50
18,3/31/2020,Savings for the Month of March 2020,329888,Equity Joint A/C,31/03/2020,50
18,4/30/2020,Savings for the Month of April 2020,329888,Equity Joint A/C,30/04/2020,50
18,5/23/2020,Savings for the Month of May 2020,329888,Equity Joint A/C,23/05/2020,50
18,6/30/2020,Savings for the Month of June 2020,329888,Equity Joint A/C,30/06/2020,50
18,7/31/2020,Savings for the Month of July 2020,329888,Equity Joint A/C,31/07/2020,50
18,8/31/2020,Savings for the Month of August 2020,329888,Equity Joint A/C,31/08/2020,50
18,9/30/2020,Savings for the Month of September 2020,329888,Equity Joint A/C,30/09/2020,50
18,10/27/2020,Savings for the Month of October 2020,329888,DFCU SACCO A/C,27/10/2020,40
18,11/30/2020,Savings for the Month of November 2020,329888,DFCU SACCO A/C,30/11/2020,40
18,12/31/2020,Savings for the Month of December 2020,329888,DFCU SACCO A/C,31/12/2020,40
18,1/31/2021,Savings for the Month of January 2021,329888,DFCU SACCO A/C,31/01/2021,40
18,2/28/2021,Savings for the Month of February 2021,329888,DFCU SACCO A/C,28/02/2021,40
18,3/30/2021,Savings for the Month of March 2021,329888,DFCU SACCO A/C,30/03/2021,40
18,4/30/2021,Savings for the Month of April 2021,329888,DFCU SACCO A/C,30/04/2021,40
18,5/31/2021,Savings by Andrew Mwayi for the Month of  May 2021,329888,DFCU SACCO A/C,31/05/2021,40
18,6/24/2021,Savings by Andrew Mwayi for the Month of  June 2021,329888,DFCU SACCO A/C,24/06/2021,40
19,2/28/2020,Savings for the Month of February 2020,600000,Equity Joint A/C,28/02/2020,50
19,3/31/2020,Savings for the Month of March 2020,600000,Equity Joint A/C,31/03/2020,50
19,4/30/2020,Savings for the Month of April 2020,600000,Equity Joint A/C,30/04/2020,50
19,5/23/2020,Savings for the Month of May 2020,600000,Equity Joint A/C,23/05/2020,50
19,6/30/2020,Savings for the Month of June 2020,600000,Equity Joint A/C,30/06/2020,50
19,7/31/2020,Savings for the Month of July 2020,600000,Equity Joint A/C,31/07/2020,50
19,8/31/2020,Savings for the Month of August 2020,600000,Equity Joint A/C,31/08/2020,50
19,9/30/2020,Savings for the Month of September 2020,600000,Equity Joint A/C,30/09/2020,50
19,10/27/2020,Savings for the Month of October 2020,600000,DFCU SACCO A/C,27/10/2020,40
19,11/30/2020,Savings for the Month of November 2020,600000,DFCU SACCO A/C,30/11/2020,40
19,12/31/2020,Savings for the Month of December 2020,600000,DFCU SACCO A/C,31/12/2020,40
19,1/31/2021,Savings for the Month of January 2021,600000,DFCU SACCO A/C,31/01/2021,40
19,2/28/2021,Savings for the Month of February 2021,600000,DFCU SACCO A/C,28/02/2021,40
19,3/30/2021,Savings for the Month of March 2021,600000,DFCU SACCO A/C,30/03/2021,40
19,4/30/2021,Savings for the Month of April 2021,600000,DFCU SACCO A/C,30/04/2021,40
19,5/31/2021,Savings by Jacob Kizito for the Month of  May 2021,1000000,DFCU SACCO A/C,31/05/2021,40
19,6/24/2021,Savings by Jacob Kizito for the Month of  June 2021,1000000,DFCU SACCO A/C,24/06/2021,40
20,2/28/2020,Savings for the Month of February 2020,108160,Equity Joint A/C,28/02/2020,50
20,3/31/2020,Savings for the Month of March 2020,108160,Equity Joint A/C,31/03/2020,50
20,4/30/2020,Savings for the Month of April 2020,108160,Equity Joint A/C,30/04/2020,50
20,5/23/2020,Savings for the Month of May 2020,108160,Equity Joint A/C,23/05/2020,50
20,6/30/2020,Savings for the Month of June 2020,108160,Equity Joint A/C,30/06/2020,50
20,7/31/2020,Savings for the Month of July 2020,108160,Equity Joint A/C,31/07/2020,50
20,8/31/2020,Savings for the Month of August 2020,108160,Equity Joint A/C,31/08/2020,50
20,9/30/2020,Savings for the Month of September 2020,108160,Equity Joint A/C,30/09/2020,50
20,10/27/2020,Savings for the Month of October 2020,108160,DFCU SACCO A/C,27/10/2020,40
20,11/30/2020,Savings for the Month of November 2020,108160,DFCU SACCO A/C,30/11/2020,40
