RECORD_ID,LOAN_ID,PERIOD,PAYMENT_DATE,BEGINING_BALANCE,PAYMENT_AMOUNT,PAYMENT_PRINCIPLE,PAYMENT_INTEREST,ENDING_BALANCE,PAID,DATE,CREATED_BY,CREATED_DT,TRANS_REF
238288,165444,26,1/12/2022,72705640,2545675,1648075,897600,70159965,N,NULL,9,1/10/2020,NULL
238289,165444,27,1/1/2023,71036965,2545675,1668675,877000,68491290,N,NULL,9,1/10/2020,NULL
238290,165444,28,1/2/2023,69347431,2545675,1689534,856141,66801756,N,NULL,9,1/10/2020,NULL
238291,165444,29,1/3/2023,67636778,2545675,1710653,835022,65091103,N,NULL,9,1/10/2020,NULL
238292,165444,30,1/4/2023,65904742,2545675,1732036,813639,63359067,N,NULL,9,1/10/2020,NULL
238293,165444,31,1/5/2023,64151055,2545675,1753687,791988,61605380,N,NULL,9,1/10/2020,NULL
238294,165444,32,1/6/2023,62375447,2545675,1775608,770067,59829772,N,NULL,9,1/10/2020,NULL
238295,165444,33,1/7/2023,60577644,2545675,1797803,747872,58031969,N,NULL,9,1/10/2020,NULL
238296,165444,34,1/8/2023,58757369,2545675,1820275,725400,56211694,N,NULL,9,1/10/2020,NULL
238297,165444,35,1/9/2023,56914340,2545675,1843029,702646,54368665,N,NULL,9,1/10/2020,NULL
238298,165444,36,1/10/2023,55048273,2545675,1866067,679608,52502598,N,NULL,9,1/10/2020,NULL
238299,165444,37,1/11/2023,53158880,2545675,1889393,656282,50613205,N,NULL,9,1/10/2020,NULL
238300,165444,38,1/12/2023,51245870,2545675,1913010,632665,48700195,N,NULL,9,1/10/2020,NULL
238301,165444,39,1/1/2024,49308947,2545675,1936923,608752,46763272,N,NULL,9,1/10/2020,NULL
238302,165444,40,1/2/2024,47347813,2545675,1961134,584541,44802138,N,NULL,9,1/10/2020,NULL
238303,165444,41,1/3/2024,45362165,2545675,1985648,560027,42816490,N,NULL,9,1/10/2020,NULL
238304,165444,42,1/4/2024,43351696,2545675,2010469,535206,40806021,N,NULL,9,1/10/2020,NULL
238305,165444,43,1/5/2024,41316096,2545675,2035600,510075,38770421,N,NULL,9,1/10/2020,NULL
238306,165444,44,1/6/2024,39255051,2545675,2061045,484630,36709376,N,NULL,9,1/10/2020,NULL
238307,165444,45,1/7/2024,37168243,2545675,2086808,458867,34622568,N,NULL,9,1/10/2020,NULL
238308,165444,46,1/8/2024,35055350,2545675,2112893,432782,32509675,N,NULL,9,1/10/2020,NULL
238309,165444,47,1/9/2024,32916046,2545675,2139304,406371,30370371,N,NULL,9,1/10/2020,NULL
238310,165444,48,1/10/2024,30750001,2545675,2166045,379630,28204326,N,NULL,9,1/10/2020,NULL
238311,165444,49,1/11/2024,28556880,2545675,2193121,352554,26011205,N,NULL,9,1/10/2020,NULL
238312,165444,50,1/12/2024,26336345,2545675,2220535,325140,23790670,N,NULL,9,1/10/2020,NULL
238313,165444,51,1/1/2025,24088053,2545675,2248292,297383,21542378,N,NULL,9,1/10/2020,NULL
238314,165444,52,1/2/2025,21811658,2545675,2276395,269280,19265983,N,NULL,9,1/10/2020,NULL
238315,165444,53,1/3/2025,19506808,2545675,2304850,240825,16961133,N,NULL,9,1/10/2020,NULL
238316,165444,54,1/4/2025,17173147,2545675,2333661,212014,14627472,N,NULL,9,1/10/2020,NULL
238317,165444,55,1/5/2025,14810315,2545675,2362832,182843,12264640,N,NULL,9,1/10/2020,NULL
238318,165444,56,1/6/2025,12417948,2545675,2392367,153308,9872273,N,NULL,9,1/10/2020,NULL
238319,165444,57,1/7/2025,9995676,2545675,2422272,123403,7450001,N,NULL,9,1/10/2020,NULL
238320,165444,58,1/8/2025,7543126,2545675,2452550,93125,4997451,N,NULL,9,1/10/2020,NULL
238321,165444,59,1/9/2025,5059919,2545675,2483207,62468,2514244,N,NULL,9,1/10/2020,NULL
238322,165444,60,1/10/2025,2545672,2545675,2514244,31428,0,N,NULL,9,1/10/2020,NULL
238323,165445,1,1/11/2020,13162500,361800,199300,162500,12800700,Y,1/11/2020,9,1/10/2020,274070
238324,165445,2,1/12/2020,12960709,361800,201791,160009,12598909,Y,1/12/2020,9,1/10/2020,275449
238325,165445,3,1/1/2021,12756396,361800,204313,157486,12394596,N,NULL,9,1/10/2020,NULL
238326,165445,4,1/2/2021,12549529,361800,206867,154932,12187729,N,NULL,9,1/10/2020,NULL
238327,165445,5,1/3/2021,12340076,361800,209453,152347,11978276,N,NULL,9,1/10/2020,NULL
238328,165445,6,1/4/2021,12128005,361800,212071,149728,11766205,N,NULL,9,1/10/2020,NULL
238329,165445,7,1/5/2021,11913283,361800,214722,147078,11551483,N,NULL,9,1/10/2020,NULL
238330,165445,8,1/6/2021,11695877,361800,217406,144394,11334077,N,NULL,9,1/10/2020,NULL
238331,165445,9,1/7/2021,11475753,361800,220124,141676,11113953,N,NULL,9,1/10/2020,NULL
238332,165445,10,1/8/2021,11252878,361800,222875,138924,10891078,N,NULL,9,1/10/2020,NULL
238333,165445,11,1/9/2021,11027217,361800,225661,136138,10665417,N,NULL,9,1/10/2020,NULL
238334,165445,12,1/10/2021,10798735,361800,228482,133318,10436935,N,NULL,9,1/10/2020,NULL
238335,165445,13,1/11/2021,10567397,361800,231338,130462,10205597,N,NULL,9,1/10/2020,NULL
238336,165445,14,1/12/2021,10333167,361800,234230,127570,9971367,N,NULL,9,1/10/2020,NULL
238337,165445,15,1/1/2022,10096009,361800,237158,124642,9734209,N,NULL,9,1/10/2020,NULL
238338,165445,16,1/2/2022,9855887,361800,240122,121678,9494087,N,NULL,9,1/10/2020,NULL
238339,165445,17,1/3/2022,9612763,361800,243124,118676,9250963,N,NULL,9,1/10/2020,NULL
238340,165445,18,1/4/2022,9366600,361800,246163,115637,9004800,N,NULL,9,1/10/2020,NULL
238341,165445,19,1/5/2022,9117360,361800,249240,112560,8755560,N,NULL,9,1/10/2020,NULL
238342,165445,20,1/6/2022,8865005,361800,252355,109444,8503205,N,NULL,9,1/10/2020,NULL
238343,165445,21,1/7/2022,8609495,361800,255510,106290,8247695,N,NULL,9,1/10/2020,NULL
238344,165445,22,1/8/2022,8350791,361800,258704,103096,7988991,N,NULL,9,1/10/2020,NULL
238345,165445,23,1/9/2022,8088854,361800,261937,99862,7727054,N,NULL,9,1/10/2020,NULL
238346,165445,24,1/10/2022,7823642,361800,265212,96588,7461842,N,NULL,9,1/10/2020,NULL
238347,165445,25,1/11/2022,7555115,361800,268527,93273,7193315,N,NULL,9,1/10/2020,NULL
238348,165445,26,1/12/2022,7283232,361800,271883,89916,6921432,N,NULL,9,1/10/2020,NULL
238349,165445,27,1/1/2023,7007950,361800,275282,86518,6646150,N,NULL,9,1/10/2020,NULL
238350,165445,28,1/2/2023,6729227,361800,278723,83077,6367427,N,NULL,9,1/10/2020,NULL
238351,165445,29,1/3/2023,6447020,361800,282207,79593,6085220,N,NULL,9,1/10/2020,NULL
238352,165445,30,1/4/2023,6161286,361800,285734,76065,5799486,N,NULL,9,1/10/2020,NULL
238353,165445,31,1/5/2023,5871980,361800,289306,72494,5510180,N,NULL,9,1/10/2020,NULL
238354,165445,32,1/6/2023,5579058,361800,292922,68877,5217258,N,NULL,9,1/10/2020,NULL
238355,165445,33,1/7/2023,5282474,361800,296584,65216,4920674,N,NULL,9,1/10/2020,NULL
238356,165445,34,1/8/2023,4982183,361800,300291,61508,4620383,N,NULL,9,1/10/2020,NULL
238357,165445,35,1/9/2023,4678138,361800,304045,57755,4316338,N,NULL,9,1/10/2020,NULL
238358,165445,36,1/10/2023,4370292,361800,307846,53954,4008492,N,NULL,9,1/10/2020,NULL
238359,165445,37,1/11/2023,4058598,361800,311694,50106,3696798,N,NULL,9,1/10/2020,NULL
238360,165445,38,1/12/2023,3743008,361800,315590,46210,3381208,N,NULL,9,1/10/2020,NULL
238361,165445,39,1/1/2024,3423473,361800,319535,42265,3061673,N,NULL,9,1/10/2020,NULL
238362,165445,40,1/2/2024,3099944,361800,323529,38271,2738144,N,NULL,9,1/10/2020,NULL
238363,165445,41,1/3/2024,2772371,361800,327573,34227,2410571,N,NULL,9,1/10/2020,NULL
238364,165445,42,1/4/2024,2440703,361800,331668,30132,2078903,N,NULL,9,1/10/2020,NULL
238365,165445,43,1/5/2024,2104890,361800,335813,25986,1743090,N,NULL,9,1/10/2020,NULL
238366,165445,44,1/6/2024,1764879,361800,340011,21789,1403079,N,NULL,9,1/10/2020,NULL
238367,165445,45,1/7/2024,1420618,361800,344261,17539,1058818,N,NULL,9,1/10/2020,NULL
238368,165445,46,1/8/2024,1072054,361800,348564,13235,710254,N,NULL,9,1/10/2020,NULL
238369,165445,47,1/9/2024,719132,361800,352922,8878,357332,N,NULL,9,1/10/2020,NULL
238370,165445,48,1/10/2024,361799,361800,357332,4467,0,N,NULL,9,1/10/2020,NULL
238371,135004,1,3/10/2020,11913282,734032,586955,147078,11179250,Y,3/10/2020,9,1/10/2020,272831
238372,135004,2,3/11/2020,11318990,734032,594292,139741,10584958,Y,3/11/2020,9,1/10/2020,274139
238373,135004,3,3/12/2020,10717270,734032,601720,132312,9983238,Y,3/12/2020,9,1/10/2020,275639
238374,135004,4,3/1/2021,10108028,734032,609242,124790,9373996,N,NULL,9,1/10/2020,NULL
238375,135004,5,3/2/2021,9491171,734032,616857,117175,8757139,N,NULL,9,1/10/2020,NULL
238376,135004,6,3/3/2021,8866603,734032,624568,109464,8132571,N,NULL,9,1/10/2020,NULL
238377,135004,7,3/4/2021,8234228,734032,632375,101657,7500196,N,NULL,9,1/10/2020,NULL
238378,135004,8,3/5/2021,7593948,734032,640280,93752,6859916,N,NULL,9,1/10/2020,NULL
238379,135004,9,3/6/2021,6945665,734032,648283,85749,6211633,N,NULL,9,1/10/2020,NULL
238380,135004,10,3/7/2021,6289278,734032,656387,77645,5555246,N,NULL,9,1/10/2020,NULL
238381,135004,11,3/8/2021,5624686,734032,664592,69441,4890654,N,NULL,9,1/10/2020,NULL
238382,135004,12,3/9/2021,4951787,734032,672899,61133,4217755,N,NULL,9,1/10/2020,NULL
238383,135004,13,3/10/2021,4270477,734032,681310,52722,3536445,N,NULL,9,1/10/2020,NULL
238384,135004,14,3/11/2021,3580650,734032,689827,44206,2846618,N,NULL,9,1/10/2020,NULL
238385,135004,15,3/12/2021,2882201,734032,698449,35583,2148169,N,NULL,9,1/10/2020,NULL
238386,135004,16,3/1/2022,2175021,734032,707180,26852,1440989,N,NULL,9,1/10/2020,NULL
238387,135004,17,3/2/2022,1459001,734032,716020,18012,724969,N,NULL,9,1/10/2020,NULL
238388,135004,18,3/3/2022,734031,734032,724969,9062,0,N,NULL,9,1/10/2020,NULL
238389,165446,1,29/10/2020,810000,166050,156050,10000,643950,Y,29/10/2020,9,1/10/2020,273986
238390,165446,2,30/10/2020,652000,166050,158000,8049,485950,C,30/10/2020,9,1/10/2020,NULL
238391,165446,3,30/10/2020,492025,166050,159975,0,325975,C,30/10/2020,9,1/10/2020,NULL
238392,165446,4,30/10/2020,330050,166050,161975,0,164000,C,30/10/2020,9,1/10/2020,NULL
238393,165446,5,30/10/2020,166050,166050,164000,0,0,C,30/10/2020,9,1/10/2020,NULL
238394,165447,1,29/10/2020,10082189,345188,220716,124471,9737001,Y,29/10/2020,9,1/10/2020,273985
238395,165447,2,29/11/2020,9858714,345188,223475,121713,9513526,Y,29/11/2020,9,1/10/2020,275354
238396,165447,3,29/12/2020,9632446,345188,226268,118919,9287258,N,NULL,9,1/10/2020,NULL
238397,165447,4,29/01/2021,9403349,345188,229097,116091,9058161,N,NULL,9,1/10/2020,NULL
238398,165447,5,28/02/2021,9171388,345188,231961,113227,8826200,N,NULL,9,1/10/2020,NULL
238399,165447,6,28/03/2021,8936528,345188,234860,110328,8591340,N,NULL,9,1/10/2020,NULL
238400,165447,7,28/04/2021,8698732,345188,237796,107392,8353544,N,NULL,9,1/10/2020,NULL
238401,165447,8,28/05/2021,8457964,345188,240768,104419,8112776,N,NULL,9,1/10/2020,NULL
238402,165447,9,28/06/2021,8214186,345188,243778,101410,7868998,N,NULL,9,1/10/2020,NULL
238403,165447,10,28/07/2021,7967361,345188,246825,98362,7622173,N,NULL,9,1/10/2020,NULL
238404,165447,11,28/08/2021,7717451,345188,249910,95277,7372263,N,NULL,9,1/10/2020,NULL
238405,165447,12,28/09/2021,7464417,345188,253034,92153,7119229,N,NULL,9,1/10/2020,NULL
238406,165447,13,28/10/2021,7208220,345188,256197,88990,6863032,N,NULL,9,1/10/2020,NULL
238407,165447,14,28/11/2021,6948820,345188,259400,85788,6603632,N,NULL,9,1/10/2020,NULL
238408,165447,15,28/12/2021,6686178,345188,262642,82545,6340990,N,NULL,9,1/10/2020,NULL
238409,165447,16,28/01/2022,6420253,345188,265925,79262,6075065,N,NULL,9,1/10/2020,NULL
238410,165447,17,28/02/2022,6151004,345188,269249,75938,5805816,N,NULL,9,1/10/2020,NULL
238411,165447,18,28/03/2022,5878389,345188,272615,72573,5533201,N,NULL,9,1/10/2020,NULL
238412,165447,19,28/04/2022,5602366,345188,276023,69165,5257178,N,NULL,9,1/10/2020,NULL
238413,165447,20,28/05/2022,5322893,345188,279473,65715,4977705,N,NULL,9,1/10/2020,NULL
238414,165447,21,28/06/2022,5039927,345188,282966,62221,4694739,N,NULL,9,1/10/2020,NULL
238415,165447,22,28/07/2022,4753424,345188,286503,58684,4408236,N,NULL,9,1/10/2020,NULL
238416,165447,23,28/08/2022,4463339,345188,290085,55103,4118151,N,NULL,9,1/10/2020,NULL
238417,165447,24,28/09/2022,4169628,345188,293711,51477,3824440,N,NULL,9,1/10/2020,NULL
238418,165447,25,28/10/2022,3872246,345188,297382,47806,3527058,N,NULL,9,1/10/2020,NULL
238419,165447,26,28/11/2022,3571147,345188,301099,44088,3225959,N,NULL,9,1/10/2020,NULL
238420,165447,27,28/12/2022,3266284,345188,304863,40324,2921096,N,NULL,9,1/10/2020,NULL
238421,165447,28,28/01/2023,2957610,345188,308674,36514,2612422,N,NULL,9,1/10/2020,NULL
238422,165447,29,28/02/2023,2645078,345188,312532,32655,2299890,N,NULL,9,1/10/2020,NULL
238423,165447,30,28/03/2023,2328639,345188,316439,28749,1983451,N,NULL,9,1/10/2020,NULL
238424,165447,31,28/04/2023,2008245,345188,320394,24793,1663057,N,NULL,9,1/10/2020,NULL
238425,165447,32,28/05/2023,1683846,345188,324399,20788,1338658,N,NULL,9,1/10/2020,NULL
238426,165447,33,28/06/2023,1355392,345188,328454,16733,1010204,N,NULL,9,1/10/2020,NULL
238427,165447,34,28/07/2023,1022832,345188,332560,12628,677644,N,NULL,9,1/10/2020,NULL
238428,165447,35,28/08/2023,686115,345188,336717,8471,340927,N,NULL,9,1/10/2020,NULL
238429,165447,36,28/09/2023,345189,345188,340927,4262,0,N,NULL,9,1/10/2020,NULL
238430,165448,1,29/10/2020,6581250,339770,258520,81250,6241480,Y,29/10/2020,9,5/10/2020,273984
238431,165448,2,29/11/2020,6319498,339770,261752,78018,5979728,Y,29/11/2020,9,5/10/2020,275353
238432,165448,3,29/12/2020,6054474,339770,265024,74747,5714704,N,NULL,9,5/10/2020,NULL
238433,165448,4,29/01/2021,5786137,339770,268337,71434,5446367,N,NULL,9,5/10/2020,NULL
238434,165448,5,28/02/2021,5514446,339770,271691,68080,5174676,N,NULL,9,5/10/2020,NULL
238435,165448,6,28/03/2021,5239359,339770,275087,64683,4899589,N,NULL,9,5/10/2020,NULL
238436,165448,7,28/04/2021,4960833,339770,278526,61245,4621063,N,NULL,9,5/10/2020,NULL
238437,165448,8,28/05/2021,4678826,339770,282007,57763,4339056,N,NULL,9,5/10/2020,NULL
238438,165448,9,28/06/2021,4393294,339770,285532,54238,4053524,N,NULL,9,5/10/2020,NULL
238439,165448,10,28/07/2021,4104193,339770,289101,50669,3764423,N,NULL,9,5/10/2020,NULL
238440,165448,11,28/08/2021,3811478,339770,292715,47055,3471708,N,NULL,9,5/10/2020,NULL
238441,165448,12,28/09/2021,3515104,339770,296374,43396,3175334,N,NULL,9,5/10/2020,NULL
238442,165448,13,28/10/2021,3215025,339770,300079,39692,2875255,N,NULL,9,5/10/2020,NULL
238443,165448,14,28/11/2021,2911195,339770,303830,35941,2571425,N,NULL,9,5/10/2020,NULL
238444,165448,15,28/12/2021,2603567,339770,307628,32143,2263797,N,NULL,9,5/10/2020,NULL
238445,165448,16,28/01/2022,2292094,339770,311473,28297,1952324,N,NULL,9,5/10/2020,NULL
238446,165448,17,28/02/2022,1976728,339770,315366,24404,1636958,N,NULL,9,5/10/2020,NULL
238447,165448,18,28/03/2022,1657420,339770,319308,20462,1317650,N,NULL,9,5/10/2020,NULL
238448,165448,19,28/04/2022,1334120,339770,323300,16471,994350,N,NULL,9,5/10/2020,NULL
238449,165448,20,28/05/2022,1006779,339770,327341,12429,667009,N,NULL,9,5/10/2020,NULL
238450,165448,21,28/06/2022,675346,339770,331433,8338,335576,N,NULL,9,5/10/2020,NULL
238451,165448,22,28/07/2022,339770,339770,335576,4195,0,N,NULL,9,5/10/2020,NULL
238452,165449,1,30/10/2020,5568750,361131,292381,68750,5207619,Y,30/10/2020,9,5/10/2020,274040
238453,165449,2,30/11/2020,5272714,361131,296036,65095,4911583,Y,30/11/2020,9,5/10/2020,275387
238454,165449,3,30/12/2020,4972977,361131,299737,61395,4611846,N,NULL,9,5/10/2020,NULL
238455,165449,4,30/01/2021,4669494,361131,303483,57648,4308363,N,NULL,9,5/10/2020,NULL
238456,165449,5,28/02/2021,4362217,361131,307277,53855,4001086,N,NULL,9,5/10/2020,NULL
238457,165449,6,28/03/2021,4051099,361131,311118,50014,3689968,N,NULL,9,5/10/2020,NULL
238458,165449,7,28/04/2021,3736092,361131,315007,46125,3374961,N,NULL,9,5/10/2020,NULL
238459,165449,8,28/05/2021,3417148,361131,318944,42187,3056017,N,NULL,9,5/10/2020,NULL
238460,165449,9,28/06/2021,3094217,361131,322931,38200,2733086,N,NULL,9,5/10/2020,NULL
238461,165449,10,28/07/2021,2767249,361131,326968,34164,2406118,N,NULL,9,5/10/2020,NULL
238462,165449,11,28/08/2021,2436194,361131,331055,30076,2075063,N,NULL,9,5/10/2020,NULL
238463,165449,12,28/09/2021,2101001,361131,335193,25938,1739870,N,NULL,9,5/10/2020,NULL
238464,165449,13,28/10/2021,1761618,361131,339383,21748,1400487,N,NULL,9,5/10/2020,NULL
238465,165449,14,28/11/2021,1417993,361131,343625,17506,1056862,N,NULL,9,5/10/2020,NULL
238466,165449,15,28/12/2021,1070072,361131,347921,13211,708941,N,NULL,9,5/10/2020,NULL
238467,165449,16,28/01/2022,717802,361131,352270,8862,356671,N,NULL,9,5/10/2020,NULL
238468,165449,17,28/02/2022,361129,361131,356671,4458,0,N,NULL,9,5/10/2020,NULL
238469,165450,1,30/10/2020,10024178,480038,356283,123755,9544140,Y,30/10/2020,9,5/10/2020,274039
238470,165450,2,30/11/2020,9663441,480038,360737,119302,9183403,Y,30/11/2020,9,5/10/2020,275386
238471,165450,3,30/12/2020,9298195,480038,365246,114793,8818157,N,NULL,9,5/10/2020,NULL
238472,165450,4,30/01/2021,8928384,480038,369811,110227,8448346,N,NULL,9,5/10/2020,NULL
238473,165450,5,28/02/2021,8553950,480038,374434,105604,8073912,N,NULL,9,5/10/2020,NULL
238474,165450,6,28/03/2021,8174836,480038,379114,100924,7694798,N,NULL,9,5/10/2020,NULL
238475,165450,7,28/04/2021,7790983,480038,383853,96185,7310945,N,NULL,9,5/10/2020,NULL
238476,165450,8,28/05/2021,7402331,480038,388652,91387,6922293,N,NULL,9,5/10/2020,NULL
238477,165450,9,28/06/2021,7008821,480038,393510,86529,6528783,N,NULL,9,5/10/2020,NULL
238478,165450,10,28/07/2021,6610392,480038,398429,81610,6130354,N,NULL,9,5/10/2020,NULL
238479,165450,11,28/08/2021,6206983,480038,403409,76629,5726945,N,NULL,9,5/10/2020,NULL
238480,165450,12,28/09/2021,5798531,480038,408452,71587,5318493,N,NULL,9,5/10/2020,NULL
238481,165450,13,28/10/2021,5384974,480038,413557,66481,4904936,N,NULL,9,5/10/2020,NULL
238482,165450,14,28/11/2021,4966247,480038,418727,61312,4486209,N,NULL,9,5/10/2020,NULL
238483,165450,15,28/12/2021,4542286,480038,423961,56078,4062248,N,NULL,9,5/10/2020,NULL
238484,165450,16,28/01/2022,4113026,480038,429260,50778,3632988,N,NULL,9,5/10/2020,NULL
238485,165450,17,28/02/2022,3678400,480038,434626,45412,3198362,N,NULL,9,5/10/2020,NULL
238486,165450,18,28/03/2022,3238341,480038,440059,39980,2758303,N,NULL,9,5/10/2020,NULL
238487,165450,19,28/04/2022,2792781,480038,445560,34479,2312743,N,NULL,9,5/10/2020,NULL
238488,165450,20,28/05/2022,2341652,480038,451129,28909,1861614,N,NULL,9,5/10/2020,NULL
238489,165450,21,28/06/2022,1884884,480038,456768,23270,1404846,N,NULL,9,5/10/2020,NULL
238490,165450,22,28/07/2022,1422406,480038,462478,17561,942368,N,NULL,9,5/10/2020,NULL
238491,165450,23,28/08/2022,954147,480038,468259,11780,474109,N,NULL,9,5/10/2020,NULL
238492,165450,24,28/09/2022,480035,480038,474109,5926,0,N,NULL,9,5/10/2020,NULL
238493,165451,1,30/10/2020,3037500,622686,585186,37500,2414814,Y,30/10/2020,9,5/10/2020,274038
238494,165451,2,30/11/2020,2444999,622686,592501,30185,1822313,Y,30/11/2020,9,5/10/2020,275385
238495,165451,3,30/12/2020,1845092,622686,599907,22779,1222406,N,NULL,9,5/10/2020,NULL
238496,165451,4,30/01/2021,1237686,622686,607406,15280,615000,N,NULL,9,5/10/2020,NULL
238497,165451,5,28/02/2021,622687,622686,615000,7687,0,N,NULL,9,5/10/2020,NULL
238498,165452,1,30/10/2020,6581250,768109,686859,81250,5813141,Y,30/10/2020,9,5/10/2020,274037
238499,165452,2,30/11/2020,5885806,768109,695444,72664,5117697,Y,30/11/2020,9,5/10/2020,275384
238500,165452,3,30/12/2020,5181669,768109,704137,63971,4413560,N,NULL,9,5/10/2020,NULL
238501,165452,4,30/01/2021,4468730,768109,712939,55169,3700621,N,NULL,9,5/10/2020,NULL
238502,165452,5,28/02/2021,3746879,768109,721851,46258,2978770,N,NULL,9,5/10/2020,NULL
238503,165452,6,28/03/2021,3016005,768109,730874,37235,2247896,N,NULL,9,5/10/2020,NULL
238504,165452,7,28/04/2021,2275995,768109,740010,28099,1507886,N,NULL,9,5/10/2020,NULL
238505,165452,8,28/05/2021,1526735,768109,749260,18849,758626,N,NULL,9,5/10/2020,NULL
238506,165452,9,28/06/2021,768109,768109,758626,9483,0,N,NULL,9,5/10/2020,NULL
238507,165453,1,30/10/2020,4050000,830248,780248,50000,3219752,Y,30/10/2020,9,5/10/2020,274036
238508,165453,2,30/11/2020,3259998,830248,790002,40247,2429750,Y,30/11/2020,9,5/10/2020,275383
238509,165453,3,30/12/2020,2460121,830248,799877,30372,1629873,N,NULL,9,5/10/2020,NULL
238510,165453,4,30/01/2021,1650246,830248,809875,20373,819998,N,NULL,9,5/10/2020,NULL
238511,165453,5,28/02/2021,830248,830248,819998,10250,0,N,NULL,9,5/10/2020,NULL
238512,165454,1,30/10/2020,1318417,445669,427252,18417,872748,Y,30/10/2020,9,5/10/2020,274035
238513,165454,2,30/11/2020,885112,445669,433305,12364,439443,Y,30/11/2020,9,5/10/2020,275382
238514,165454,3,30/12/2020,445669,445669,439443,6225,0,N,NULL,9,5/10/2020,NULL
238515,165455,1,30/10/2020,9186698,818939,705523,113416,8367759,Y,30/10/2020,9,5/10/2020,274034
238516,165455,2,30/11/2020,8472356,818939,714342,104597,7653417,Y,30/11/2020,9,5/10/2020,275381
238517,165455,3,30/12/2020,7749085,818939,723271,95668,6930146,N,NULL,9,5/10/2020,NULL
238518,165455,4,30/01/2021,7016773,818939,732312,86627,6197834,N,NULL,9,5/10/2020,NULL
238519,165455,5,28/02/2021,6275307,818939,741466,77473,5456368,N,NULL,9,5/10/2020,NULL
238520,165455,6,28/03/2021,5524572,818939,750735,68205,4705633,N,NULL,9,5/10/2020,NULL
238521,165455,7,28/04/2021,4764453,818939,760119,58820,3945514,N,NULL,9,5/10/2020,NULL
238522,165455,8,28/05/2021,3994833,818939,769620,49319,3175894,N,NULL,9,5/10/2020,NULL
238523,165455,9,28/06/2021,3215593,818939,779240,39699,2396654,N,NULL,9,5/10/2020,NULL
238524,165455,10,28/07/2021,2426612,818939,788981,29958,1607673,N,NULL,9,5/10/2020,NULL
238525,165455,11,28/08/2021,1627769,818939,798843,20096,808830,N,NULL,9,5/10/2020,NULL
238526,165455,12,28/09/2021,818940,818939,808830,10110,0,N,NULL,9,5/10/2020,NULL
238527,165456,1,30/10/2020,1518750,764092,745342,18750,754658,Y,30/10/2020,9,5/10/2020,274033
238528,165456,2,30/11/2020,764092,764092,754658,9433,0,Y,30/11/2020,9,5/10/2020,275380
